,Alpha,Beta,AllBCV,MeanBCV,MinBCV,MaxBCV,WBCV,CohBCV,EqualParameters_AllBCV,EqualParameters_MeanBCV,EqualParameters_MinBCV,EqualParameters_MaxBCV,EqualParameters_CohBCV,MincF
129,0.05,0.05,1.2018218023879983,0.120477873198887,0.3394476105207541,5.006792281448097,1.2498707550961274,-0.220266770709467,0.048048952708129145,1.1293928818972405,0.9104231445753733,-3.7569215263519693,1.4701375258055944,-3.7569215263519693
124,0.05,0.1,1.2347666656460952,0.1714886972143168,0.3608704112944581,5.041919083664513,1.2551957620722018,-0.1617343421287628,0.020429096426106685,1.083707064857885,0.8943253507777438,-3.786723321592311,1.4169301042009645,-3.786723321592311
121,0.05,0.15,1.2307200769044475,0.115700255091027,0.3394476105207542,5.228329145519273,1.2877158414717,-0.2092277600561835,0.05699576456725253,1.172015586380673,0.9482682309509458,-3.940613304047573,1.4969436015278834,-3.940613304047573
122,0.05,0.2,1.193230066359932,0.1361600064928896,0.366226111487884,5.206138134479307,1.2222937327975822,-0.1180917418713055,0.029063666437650237,1.0861337263046926,0.8560676213096983,-3.9838444016817247,1.3403854746688877,-3.9838444016817247
123,0.05,0.25,1.2687666751900313,0.155334053391375,0.3394476105207542,5.574855804957231,1.3105816352904651,-0.2348998778546407,0.04181496010043384,1.1552475818990902,0.9711340247697109,-4.264274169666766,1.5454815131451058,-4.264274169666766
125,0.05,0.3,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.2182130012856123,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.4952060685013946,-4.4795770570601885
128,0.05,0.35,1.179335557391039,0.1045990025896604,0.3394476105207542,5.075254082796032,1.2362228692973618,-0.1976753070468362,0.0568873119063229,1.1316238667077014,0.8967752587766076,-3.8390312134986706,1.433898176344198,-3.8390312134986706
127,0.05,0.3999999999999999,1.1544728013993606,0.0938803247854713,0.3394476105207542,5.285941734363117,1.2126425963128584,-0.2772588722222003,0.05816979491349783,1.118762271527387,0.8731949857921042,-4.073299138050259,1.4899014685350587,-4.073299138050259
130,0.05,0.4499999999999999,1.2418164665106668,0.1923101172800393,0.3666188566386918,5.419664660420327,1.2486831615374097,-0.1001212594122884,0.006866695026742864,1.0563730442573704,0.8820643048987178,-4.1709814988829175,1.348804420949698,-4.1709814988829175
126,0.05,0.4999999999999999,1.184170172627034,0.116404590370543,0.3394476105207542,5.285941734363117,1.2270980534523996,-0.2772588722221114,0.042927880825365694,1.1106934630818566,0.8876504429316454,-4.058843680910718,1.504356925674511,-4.058843680910718
134,0.05,0.5499999999999999,1.194443684142244,0.1102203508806258,0.3394476105207542,5.285941734363117,1.2506667251623516,-0.32346868425953,0.056223041020107445,1.1404463742817257,0.9112191146415973,-4.035275009200766,1.5741354094218816,-4.035275009200766
135,0.05,0.6,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
138,0.05,0.65,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
132,0.05,0.7,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
133,0.05,0.75,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
136,0.05,0.7999999999999999,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
137,0.05,0.85,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
131,0.05,0.9,1.158016515000544,0.049255156046479,0.3394476105207542,4.744819191215218,1.2536601817667037,-0.1848392481479409,0.09564366676615976,1.2044050257202248,0.9142125712459495,-3.4911590094485137,1.4384994299146445,-3.4911590094485137
139,0.05,0.95,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
140,0.05,1.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
349,0.1,0.05,1.3198786621371614,0.1572499126381621,0.3394476105207542,6.091322095277277,1.354676561730463,-0.2348998778545407,0.034797899593301596,1.197426649092301,1.0152289512097088,-4.736645533546813,1.5895764395850036,-4.736645533546813
344,0.1,0.1,1.2279460434511948,0.1391596572238454,0.3394476105207541,5.02487535288765,1.2642031706498504,-0.2595451109411417,0.03625712719865559,1.125043513426005,0.9247555601290963,-3.7606721822378,1.5237482815909922,-3.7606721822378
341,0.1,0.15,1.22148808930761,0.1677256700534005,0.3598260451092074,5.444729800350491,1.2418144059965588,-0.1091065006418247,0.020326316688948687,1.0740887359431583,0.8819883608873513,-4.202915394353933,1.3509209066383834,-4.202915394353933
342,0.1,0.2,1.2375949071855763,0.1549443848193955,0.366226111487884,5.546796155219276,1.2645209990504198,-0.1257933772108419,0.026926091864843515,1.1095766142310244,0.8982948875625358,-4.282275156168856,1.3903143762612618,-4.282275156168856
343,0.1,0.25,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.220780213065464,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.4977732802812462,-4.4795770570601885
345,0.1,0.3,1.162759986843516,0.0951983296499231,0.3394476105207542,5.075254082796032,1.2206900455453324,-0.2105113659460945,0.057930058701816556,1.1254917158954094,0.8812424350245782,-3.8545640372507,1.4312014114914269,-3.8545640372507
348,0.1,0.35,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.2233474248453157,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.500340492061098,-4.4795770570601885
347,0.1,0.3999999999999999,1.2083895341131146,0.1026435247500766,0.3394476105207542,5.285941734363117,1.2583014235486427,-0.2849605075616664,0.049911889435528156,1.1556578987985662,0.9188538130278885,-4.0276403108144745,1.543261931110309,-4.0276403108144745
350,0.1,0.4499999999999999,1.1544728013993606,0.0938803247854713,0.3394476105207542,5.285941734363117,1.2126425963128586,-0.3003637782408652,0.05816979491349805,1.1187622715273873,0.8731949857921044,-4.073299138050259,1.5130063745537239,-4.073299138050259
346,0.1,0.4999999999999999,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
354,0.1,0.5499999999999999,1.2265842228239383,0.1113465182444555,0.3394476105207542,5.285941734363117,1.2855958459806562,-0.3080654135804201,0.05901162315671793,1.1742493277362007,0.946148235459902,-4.000345888382461,1.5936612595610764,-4.000345888382461
355,0.1,0.6,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
358,0.1,0.65,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
352,0.1,0.7,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
353,0.1,0.75,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
