,Trial Number,A,B,Alpha,Beta,WCV,AllBCV,AllCF,MeanBCV,MeanCF,MinBCV,MinCF,MaxBCV,MaxCF,CohBCV,CohCF,SelectedCF
21,4972.0,1.0,0.2575,0.9,0.05,1.4221049858276145,1.374650312601982,1.068132530332604,0.2046772780395044,1.369400586732442,0.3394476105207541,1.3346972261185204,13.841361368922128,-2.1420455666698333,-0.2572346203392863,1.4883429005649806,MaxCF
22,4973.0,1.0,0.505,0.9,0.05,1.4221049858276145,1.374650312601982,0.7279065779636136,0.2046772780395044,1.3187429604176648,0.3394476105207541,1.2506839425146337,13.841361368922128,-5.5677825054780605,-0.2572346203392863,1.5520084690989542,MaxCF
23,4974.0,1.0,0.7525,0.9,0.05,1.4221049858276145,1.374650312601982,0.387680625594623,0.2046772780395044,1.2680853341028877,0.3394476105207541,1.166670658910747,13.841361368922128,-8.993519444286285,-0.2572346203392863,1.6156740376329275,MaxCF
24,4975.0,1.0,1.0,0.9,0.05,1.4221049858276145,1.374650312601982,0.0474546732256324,0.2046772780395044,1.2174277077881102,0.3394476105207541,1.0826573753068605,13.841361368922128,-12.419256383094512,-0.2572346203392863,1.6793396061669008,MaxCF
0,30001.0,0.01,0.01,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.000511442705036,0.2833776859382238,0.0082972361103871,0.371184699425946,0.0074191659755099,4.503487940080877,-0.0339038664310393,1.9999557565577565e-12,0.0111310129697494,CohCF
1,30002.0,0.01,0.2575,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.2886622206564714,0.2833776859382238,-0.0618387411593232,0.371184699425946,-0.0844490471324116,4.503487940080877,-1.1485171316010565,1.9999557565577565e-12,0.0111310129692544,CohCF
2,30003.0,0.01,0.505,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.5768129986079069,0.2833776859382238,-0.1319747184290336,0.371184699425946,-0.1763172602403333,4.503487940080877,-2.263130396771073,1.9999557565577565e-12,0.0111310129687594,CohCF
3,30004.0,0.01,0.7525,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.8649637765593423,0.2833776859382238,-0.202110695698744,0.371184699425946,-0.268185473348255,4.503487940080877,-3.37774366194109,1.9999557565577565e-12,0.0111310129682644,CohCF
4,30005.0,0.01,1.0,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-1.1531145545107775,0.2833776859382238,-0.2722466729684544,0.371184699425946,-0.3600536864561766,4.503487940080877,-4.492356927111108,1.9999557565577565e-12,0.0111310129677694,CohCF
5,30006.0,0.2575,0.01,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.2749811282967571,0.2833776859382238,0.2837898071121803,0.371184699425946,0.2829117369773031,4.503487940080877,0.2415887045707538,1.9999557565577565e-12,0.2866235839715426,CohCF
6,30007.0,0.2575,0.2575,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.0131696496546783,0.2833776859382238,0.2136538298424699,0.371184699425946,0.1910435238693814,4.503487940080877,-0.8730245605992633,1.9999557565577565e-12,0.2866235839710476,CohCF
7,30008.0,0.2575,0.505,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.3013204276061137,0.2833776859382238,0.1435178525727595,0.371184699425946,0.0991753107614598,4.503487940080877,-1.98763782576928,1.9999557565577565e-12,0.2866235839705526,CohCF
8,30009.0,0.2575,0.7525,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.5894712055575491,0.2833776859382238,0.0733818753030491,0.371184699425946,0.0073070976535381,4.503487940080877,-3.102251090939297,1.9999557565577565e-12,0.2866235839700576,CohCF
9,30010.0,0.2575,1.0,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.8776219835089847,0.2833776859382238,0.0032458980333387,0.371184699425946,-0.0845611154543835,4.503487940080877,-4.216864356109315,1.9999557565577565e-12,0.2866235839695626,CohCF
10,30011.0,0.505,0.01,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.5504736992985503,0.2833776859382238,0.5592823781139735,0.371184699425946,0.5584043079790963,4.503487940080877,0.517081275572547,1.9999557565577565e-12,0.5621161549733358,CohCF
11,30012.0,0.505,0.2575,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.2623229213471149,0.2833776859382238,0.4891464008442631,0.371184699425946,0.4665360948711746,4.503487940080877,-0.59753198959747,1.9999557565577565e-12,0.5621161549728407,CohCF
12,30013.0,0.505,0.505,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.0258278566043205,0.2833776859382238,0.4190104235745527,0.371184699425946,0.374667881763253,4.503487940080877,-1.712145254767487,1.9999557565577565e-12,0.5621161549723458,CohCF
13,30014.0,0.505,0.7525,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.3139786345557559,0.2833776859382238,0.3488744463048423,0.371184699425946,0.2827996686553313,4.503487940080877,-2.826758519937504,1.9999557565577565e-12,0.5621161549718507,CohCF
14,30015.0,0.505,1.0,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.6021294125071914,0.2833776859382238,0.2787384690351319,0.371184699425946,0.1909314555474097,4.503487940080877,-3.9413717851075214,1.9999557565577565e-12,0.5621161549713558,CohCF
15,30016.0,0.7525,0.01,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.8259662703003433,0.2833776859382238,0.8347749491157666,0.371184699425946,0.8338968789808894,4.503487940080877,0.79257384657434,1.9999557565577565e-12,0.8376087259751288,CohCF
16,30017.0,0.7525,0.2575,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.5378154923489079,0.2833776859382238,0.7646389718460561,0.371184699425946,0.7420286658729677,4.503487940080877,-0.322039418595677,1.9999557565577565e-12,0.8376087259746338,CohCF
17,30018.0,0.7525,0.505,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,0.2496647143974725,0.2833776859382238,0.6945029945763458,0.371184699425946,0.650160452765046,4.503487940080877,-1.436652683765694,1.9999557565577565e-12,0.8376087259741388,CohCF
18,30019.0,0.7525,0.7525,0.75,0.7999999999999999,1.113101296976942,1.1642455674805472,-0.0384860635539628,0.2833776859382238,0.6243670173066354,0.371184699425946,0.5582922396571244,4.503487940080877,-2.551265948935711,1.9999557565577565e-12,0.8376087259736438,CohCF
